Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
Jumpstart Your MTG Journey,Random Hall,Black Hole,Black Hole Kitchen,8/27/2024 12:17,8/27/2024 15:17,"Have you ever wanted to play a collectible card game, but had no idea where to start? Or are you a master in the ways of shiny cardboard? Either way, we have an exciting challege for you. Come build decks using MTG cards, and face fellow prefrosh in battles to see who triumphs.","Food, Social, Games",TRUE
Destiny Soapmaking,Random Hall,Destiny,Destiny Kitchen,8/27/2024 14:17,8/27/2024 15:17,"Come to destiny and make your very own personalized bar of soap! You can choose your soap type (like goat's milk or shea butter), color, fragrance, botanical additives, and more! Experiment with adding petals and pouring swirled patterns into the soap of your dreams. ","Social, Art",TRUE
friendship (bracelets) and tea,Random Hall,Loop,Loop Lounge,8/27/2024 19:17,8/27/2024 20:17,"Come for the tea and bracelets, stay for the friendship! We have a cozy kitchen, everything you need to make your own tea blends, and way too much embroidery floss.","Social, Art",TRUE
How To Cook For Yourself,Random Hall,Black Hole,Black Hole Kitchen,8/27/2024 19:17,8/27/2024 20:17,Are you moving into a Cook-For-Yourself (CFY) community this fall and feeling nervous about keeping yourself fed? Join us for a quick rundown of food resources in our community as well as tried and true tips from veteran dorm chefs to make easy and tasty meals!,"Food, Social",TRUE
Pasta Ptuesday,Random Hall,Clam,Clam Kitchen,8/27/2024 19:17,8/27/2024 22:17,"hungry? lacking in nutrients? need something to do on [insert whatever day of the week this event is on] night? come eat pasta from our clamily (clam family) recipe!! (clam is a place and not an ingredient, this is a seafood-free event)",Food,TRUE
Soviet Cartoons,Random Hall,Bonfire,Bonfire Lounge,8/27/2024 20:47,8/27/2024 22:47,"Come watch clips from Gena the Crocodile, Soviet Winnie the Pooh and ""Nu, pagodi"" as well as a selection of my favorite Soviet-era Latvian animations for the sake of nostalgia or bring your own cartoon requests! We'll have kvass and other treats!","Food, Social",TRUE
Roofdeck Camping,Random Hall,,Roofdeck,8/25/2024 12:47,8/25/2024 15:47,"Do you like the great outdoors? So do we, but they're far away. Join us on the Random roofdeck for good times in tents, drinking filtered water and eating instant food.","Food, Social",TRUE
Find Your Inner Fursona,Random Hall,Clam,Clam,8/28/2024 19:17,8/28/2024 20:47,"Historically speaking, the beginning of the furry virus came from recording one's animal image on paper. Feel free to come and draw for yourself or others, or get drawn by our talented* artists! Pencil and paper provided.","Food, Social, Art",TRUE
eat food to live!,Random Hall,Pecker,Pecker Kitchen,8/28/2024 19:17,8/28/2024 21:17,come get a Real Meal amongst the chaos of rex! featuring homecooked asian food and friends :),Food,TRUE
arcane watch party,Random Hall,Destiny,Destiny Lounge,8/28/2024 20:17,8/29/2024 00:47,come watch arcane season 1 with us! season 2 is coming soon so... :eyes:,Social,TRUE
do embroidery while watching anime (snacks included),Random Hall,Clam,Clam Lounge,8/28/2024 21:47,8/28/2024 23:47,"pretend the late stage capitalism of fast fashion hasn't destroyed the textile industry and spend some relaxing time doing the embroidery all the ""strong"" female characters in historical media complain about. there will also be fabric for other types of hand sewing, and snacks","Food, Social, Art",TRUE
bmf handroll bar,Random Hall,BMF,BMF Kitchen,8/29/2024 11:47,8/29/2024 12:47,build and eat your own custom handrolls! pescetarian/vegan friendly. ,"Food, Social",TRUE
crepes + cartoons,Random Hall,Loop,Loop Kitchen,8/30/2024 12:17,8/30/2024 13:17,celebrate the last day of REX by curling up with a plate of crepes and some classic cartoons!,"Food, Social",TRUE
Multitools and Multivitamins,Random Hall,Black Hole,Black Hole Kitchen,8/30/2024 16:47,8/30/2024 17:17,"Learn all the different uses of a multivitamin, and why you should eat two multitools per day!",Social,TRUE
Become 2% Milk,Random Hall,Clam,Clam,8/30/2024 16:47,8/30/2024 17:30,Drink enough milk to become 2% milk. Nondairy options available.,"Food, Social",TRUE
Spinning on Roofdeck,Random Hall,,Roofdeck,8/30/2024 23:17,8/31/2024 00:17,Want to learn spinning arts? Come to the roofdeck!,"Social, Art",TRUE
Power Through Every Twilight Movie,Simmons Hall,,Simmons MPR,8/25/2024 10:00,8/25/2024 12:00,"Am I a Twihard? No. Have I read the Twilight books? Also no. Do I even like these movies? Meh. I rGather round, mock Edward's response to smelling Bella for the first time, and make some lifelong friends.",Social,TRUE
Worm on a String Crafting,Simmons Hall,,Simmons Craft Room,8/25/2024 10:30,8/25/2024 12:00,do you like worms on a string? do you like crafting? come explore the simmons craft room via worm on a string related crafts! we’ll be making anything from earrings to paintings and whatever else our supplies allows :),Art,TRUE
GATAS,Simmons Hall,,Simmons 2nd Floor Arcade,8/25/2024 12:00,8/25/2024 13:00,Play a classic Simmons game with Sims!!,"Social, Games",TRUE
GATAS,Simmons Hall,,Simmons 2nd Floor Arcade,8/28/2024 12:00,8/28/2024 13:00,Play a classic Simmons game with Sims!!,"Social, Games",TRUE
Duck Build,Simmons Hall,,Simmons Hall Giant Steps,8/25/2024 12:00,8/25/2024 16:00,Build a duck-shaped cart for water wars!,,TRUE
Duck Build,Simmons Hall,,Simmons Hall Giant Steps,8/26/2024 14:00,8/26/2024 16:00,Build a duck-shaped cart for water wars!,,TRUE
Dumb Ways to (Hair) Dye,Simmons Hall,,Simmons Front Yard,8/25/2024 13:00,8/25/2024 15:00,Come get your hair dyed and chat with Sims!,Social,TRUE
Dumb Ways to (Hair) Dye,Simmons Hall,,Simmons Front Yard,8/27/2024 13:00,8/27/2024 15:00,Come get your hair dyed and chat with Sims!,Social,TRUE
Simmons Pool Party,Simmons Hall,,Simmons Front Lawn,8/25/2024 14:00,8/25/2024 15:30,inflatable pool party!!! bring a swimsuit or jump in fully clothed. we won't judge,Social,TRUE
The Bisexual Experience of Your Life,Simmons Hall,,Simmons MPR,8/25/2024 15:00,8/25/2024 17:00,Become bisexual. Eat hot chip. Lie. (Come celebrate bisexuality by eating hot chips and watching a classic bisexual-themed movie with us!,"Food, Social",TRUE
Meet the Simmons Heads of House!,Simmons Hall,,Old Late Night,8/25/2024 16:00,8/25/2024 18:00,"Come meet the Heads of House of Simmons Hall! (Featuring a dog, homemade cookies, and homemade ice cream)","Food, Social",TRUE
The Eras Tour (Simmons' Version),Simmons Hall,,Simmons TV Lounge,8/25/2024 16:00,8/25/2024 18:00,"Come enjoy all things Taylor Swift! Featuring listening to her music, yelling lyrics, overanalyzing them, making bracelets, and playing some games! ","Social, Art",TRUE
SIMFEST,Simmons Hall,,Simmons Hall,8/25/2024 20:00,8/25/2024 23:00,"Come participate in a variety of Simmons traditions! Including: Tape the President, Chalk Muraling, and more!",Signature,TRUE
Queer as Duck!,Simmons Hall,,Simmons Party Room,8/25/2024 23:00,8/26/2024 1:00,chat with residents about being queer in Simmons and at MIT,Social,TRUE
Square Pancakes,Simmons Hall,,Old Late Night,8/25/2024 8:00,8/25/2024 10:00,Fuel up before REX events with a pancake breakfast!,Food,TRUE
Turn Yourself into a TCG,Simmons Hall,,Simmons Craft Room,8/26/2024 10:00,8/26/2024 11:00,Students can make a tcg card of themselves that can basically act like a name card or something to introduce themselves to others. Can also be used for door decoration where they can tack it on. ,"Social, Art",TRUE
Snack Time: Jelly Donut/Onigiri,Simmons Hall,,Simmons Old Late Night,8/26/2024 14:00,8/26/2024 15:30,A little snack break where people can make their own jelly donut (actually onigiri or rice ball) and munch on it before they continue whatever event they're joining. ,Food,TRUE
"D&D&D&D&D&D&D: Dungeons and Dragons Discussion with free Dice, Dunkin Donuts and a Dog",Simmons Hall,,Simmons Party Room,8/26/2024 14:00,8/26/2024 16:00,"Talk about D&D! Get yourself a set of dice! Meet our house dog, Kaito! Get yourself a sweet treat, munchkins from Dunkin!",Social,TRUE
Simmons Taco Stand,Simmons Hall,,Old Late Night,8/26/2024 19:00,8/26/2024 21:00,"good tacos, trust","Food, Social",TRUE
Power Through Every Twilight Movie,Simmons Hall,,Simmons MPR,8/26/2024 19:00,8/26/2024 21:00,"Am I a Twihard? No. Have I read the Twilight books? Also no. Do I even like these movies? Meh. I rGather round, mock Edward's response to smelling Bella for the first time, and make some lifelong friends.",Social,TRUE
Power Through Every Twilight Movie,Simmons Hall,,Simmons MPR,8/27/2024 19:00,8/27/2024 21:00,"Am I a Twihard? No. Have I read the Twilight books? Also no. Do I even like these movies? Meh. I rGather round, mock Edward's response to smelling Bella for the first time, and make some lifelong friends.",Social,TRUE
Blahaj Blast 4: Attack of the Blahaj,Simmons Hall,,Simmons Party Room,8/26/2024 21:00,8/26/2024 23:00,Make Baja Blast. Hold Blahaj. eom,Social,TRUE
Late Night Nugs,Simmons Hall,,Old Late Night,8/26/2024 23:00,8/27/2024 1:00,"a meal of delicious, exquisite chicken nuggest will be provided for our amazing freshmen. come join and get to eat with your new simmons pals. which dipping sauce is superior? let's find out at late night nugs :)",Food,TRUE
Rainbow Pancakes,Simmons Hall,,Old Late Night,8/26/2024 8:00,8/26/2024 10:00,Fuel up before REX events with a pancake breakfast!,Food,TRUE
"Grill, Fill, Chill",Simmons Hall,,Simmons Front Yard,8/27/2024 12:00,8/27/2024 14:00,"Come recharge for lunch with freshly grilled hamburgers, hot dogs, and chicken outside of Simmons!",Food,TRUE
Powerpoint Karaoke,Simmons Hall,,Simmons TV Lounge,8/27/2024 14:00,8/27/2024 15:30,Want to brush up your presentation skills? Get a random powerpoint on a silly topic and present on it on the fly to your fellow frosh!,"Social, Games",TRUE
The Great Duck Race,Simmons Hall,,Simmons Front Lawn,8/27/2024 14:00,8/27/2024 15:30,"Looking for some friendly competition? Join us for the 2nd annual Simmons Duck Race! We will be racing rubber ducks across the Charles River... just kidding, it's an inflatable kiddie pool on Vassar Street. ",Games,TRUE
Simmon' Dots,Simmons Hall,,Simmons Front Lawn,8/27/2024 14:00,8/27/2024 15:30,Come eat dipping dots ice cream outside of Simmons and enjoy the view of the sponge!,"Tour, Food",TRUE
Board Games and Ice Cream,Simmons Hall,,Simmons Party Room,8/27/2024 21:00,8/27/2024 23:00,Are you bored? play a board game! is the weather too hot for comfort? come eat ice cream! neither of those things? still come and make some new friends :),"Social, Games",TRUE
Top of the Sponge,Simmons Hall,,Simmons 7B Terrace,8/27/2024 22:00,8/28/2024 1:00,party on simmons rooftop!!,"Party, Social",TRUE
Spaghetti Pancakes,Simmons Hall,,Old Late Night,8/27/2024 8:00,8/27/2024 10:00,Fuel up before REX events with a pancake breakfast!,Food,TRUE
Dinosaur Pancakes,Simmons Hall,,Old Late Night,8/28/2024 8:00,8/28/2024 10:00,Fuel up before REX events with a pancake breakfast!,Food,TRUE
Water Wars,DormCon,,Killian Court,8/27/2024 19:00,8/27/2024 20:00,"Two sides, both alike in dignity, in fair MIT, where we lay our scene, from ancient grudge break to new mutiny, where civil water makes civil Killian unclean...","Signature, Games",TRUE
